"","fips","county_name","State","ev_market_penetration","n_charging_locations","gas_regular","gas_mid","gas_premium","gas_diesel","gas_tax","CENSUS_2020_POP","log_population","unemployment_rate_2022","Median_Household_Income_2021","RPP","log_income","Income_adjusted","log_income_adjusted","Perc_Adults_Less_Than_HSD","Perc_Adults_Only_HSD","Perc_Adults_SmCollege","Perc_Adults_Bachelor_Or_Above","min_temp","max_temp","precipitation","avg_temp","Perc_Dem","Perc_Rep"
"11",1021,"Chilton County","AL",0.01,1,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,45014,10.7147288314785,2.3,55142,84.1134778901778,10.9176669552294,655.566757945686,6.48550014080331,18.2,42.9,25.3,13.5,52.7,76,308.37,64,11.586922506794,85.5307584616652
"12",1023,"Choctaw County","AL",0.01,0,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,12665,9.44659756243577,3.8,40601,81.5208874774815,10.6115479758284,498.044136371985,6.21068870035047,19.4,37.5,31.4,11.7,55,77.3,317.83,65.9,36.8523190374539,62.06093537745
"13",1025,"Clarke County","AL",0,0,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,23087,10.0470249675323,5,45447,81.7156565680307,10.7243020908264,556.160250173894,6.32105647246047,17.8,41.4,26.9,13.9,55.7,77.6,302.71,66.5,40.0643158128188,59.3036149922378
"14",1027,"Clay County","AL",0,0,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,14236,9.56352924663008,2.3,47036,79.5410379811731,10.7586685449433,591.34254711553,6.38239545544789,17,38.2,31.4,13.4,50.7,74.2,325.95,62.2,11.9526627218935,85.8698224852071
"15",1029,"Cleburne County","AL",0.01,1,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,15056,9.61953186182516,2.4,49769,85.2578748919764,10.8151475792256,583.746663437934,6.36946709322876,16.9,37.5,29.2,16.4,50.8,73.5,310.35,62.1,6.70002175331738,91.6249728083533
"16",1031,"Coffee County","AL",0.01,7,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,53465,10.8867825131908,2.5,55052,88.6563361531238,10.9160334720994,620.959565765455,6.43126596832483,13.6,28,35.7,22.7,55.4,78.7,285.52,66.9,16.4636767445193,81.7524000573148
"17",1033,"Colbert County","AL",0.01,3,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,57227,10.9547810939698,3,53341,86.5007794985233,10.8844605452168,616.653402538536,6.42430711977596,13.2,37.7,31.2,17.9,50.6,73.1,333.36,61.6,24.2531469342769,73.9486049074772
"18",1035,"Conecuh County","AL",0.01,1,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,11597,9.3585017229567,3.5,35621,81.8152012276349,10.4806906305652,435.383638559923,6.07622757014289,12.4,48.5,26.6,12.5,56.2,78.5,308.21,67.1,41.2812993458155,57.8389352582901
"19",1037,"Coosa County","AL",0.02,0,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,10387,9.24831030322781,2.5,45954,83.9051483698532,10.7353961751376,547.689872347703,6.30570920037844,14.9,41.8,32.1,11.2,52.2,75.6,322.71,63.6,27.3275635982166,69.8137949121427
"20",1039,"Covington County","AL",0,2,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,37570,10.533961138568,2.6,44188,81.4704296753987,10.6962085379922,542.380838987317,6.29596840965138,14.8,38,31.4,15.8,55.5,79,302.19,67,11.4435369318182,87.4644886363636
"21",1041,"Crenshaw County","AL",0,1,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,13194,9.48751745978282,2.6,38037,86.739284789369,10.5463146491961,438.521024151469,6.08340775627627,18.8,41.8,23,16.4,54.3,77.9,293.82,66,19.6271929824561,79.1008771929825
"22",1043,"Cullman County","AL",0.01,6,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,87866,11.3835682056602,2.1,55036,86.4103662385393,10.9157427955477,636.914324006808,6.45663514732195,15.8,32.4,35.3,16.5,52.7,72,333.56,62,7.48858096956205,89.156718995893
"23",1045,"Dale County","AL",0.02,3,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,49326,10.8062066043802,2.6,50086,84.6677634602257,10.8214968069042,591.559265924496,6.38276187438309,15.2,30.9,35.3,18.7,56,78.3,285.43,67,19.4043547176107,78.9021439893218
"24",1047,"Dallas County","AL",0,0,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,38462,10.5574260198708,5,33159,84.1120366836817,10.4090694519791,394.224195577386,5.97691977177308,14.1,38.2,31.6,16.1,54.9,77.6,285.08,66,64.6621860629643,34.3827378846834
"25",1049,"DeKalb County","AL",0.02,2,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,71608,11.1789620785508,2.3,45062,81.0241056482867,10.7157945982653,556.155475453284,6.32104788727103,21.8,33.5,30.3,14.4,50.5,70.6,341.09,60.4,9.81469573858654,88.8525165137078
"26",1051,"Elmore County","AL",0.01,7,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,87977,11.3848306956626,2.2,63147,87.8787370942689,11.053220620712,718.5697256011,6.57726274409684,12.4,32.1,31,24.6,54.3,76.9,306.85,65.4,18.9345888945095,78.4738705786217
"27",1053,"Escambia County","AL",0,1,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,36757,10.5120839626932,3.1,40506,81.5122668624019,10.6092053902699,496.931340019985,6.20845186770005,18.3,43.7,25.4,12.5,56.9,78.8,317.07,67.6,23.2922151964341,75.5053384471857
"28",1055,"Etowah County","AL",0.01,3,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,103436,11.5467083429378,3,46308,84.383,10.7430700113256,548.783522747473,6.30770405181275,13.8,33.8,34.4,18,52.2,73.3,325.6,62.6,18.9001458285363,79.0505794765523
"29",1057,"Fayette County","AL",0,0,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,16321,9.7002079011507,2.7,46122,80.4976580046117,10.7390453385772,572.960768589785,6.3508172476863,17,41,30.2,11.8,52.3,74.5,352.79,63.3,12.5545851528384,85.462154294032
"30",1059,"Franklin County","AL",0.01,0,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,32113,10.3770162115577,2.3,45440,78.7464062526933,10.724148053395,577.042206271424,6.35791541161703,20.5,42.2,23,14.3,50.6,72.6,351.01,61.3,10.359208933136,88.0801829678461
"31",1061,"Geneva County","AL",0,1,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,26659,10.1908820836519,2.4,43206,82.3727759380992,10.6737346534769,524.517955209717,6.26247966025274,17.5,36.6,32.4,13.5,56.2,79.3,304.39,67.6,9.56619859578736,89.1800401203611
"32",1063,"Greene County","AL",0,2,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,7730,8.95286414158147,4.4,30225,85.4465763738429,10.316424675483,353.729795653376,5.86853333256556,15.6,39.3,32.5,12.7,53.7,75.9,319.94,64.6,78.8461538461538,20.1417004048583
"33",1065,"Hale County","AL",0,0,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,14785,9.60136843228658,3.9,41995,86.0064625188416,10.6453058425597,488.277261616243,6.19088340356158,18.7,39.1,26.4,15.8,53.6,75.8,302.24,64.5,53.9756239117818,44.4573418456181
"34",1067,"Henry County","AL",0.01,2,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,17146,9.7495201892387,2.7,56389,86.2757108495524,10.9400293830033,653.590673953775,6.48248127470742,18.7,32.2,27.5,21.6,56.3,78,289.69,67.1,23.1832367365136,75.5684351315203
"35",1069,"Houston County","AL",0.02,11,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,107202,11.5824701841612,2.6,48701,86.8889104871158,10.7934548427408,560.497303130778,6.32882443095876,12.2,32.1,33.4,22.2,57.1,79.1,295.04,68,21.2278347898611,77.0424629220002
"36",1071,"Jackson County","AL",0.02,6,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,52579,10.8700720794647,2.5,46998,80.8443672504987,10.7578603265953,581.339202697639,6.3653344121334,17.6,38.3,28.1,16.1,50.6,70.9,342.06,60.6,11.3716383249682,87.0252453367293
"37",1073,"Jefferson County","AL",0.03,70,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,674721,13.4220545510756,2.6,55210,91.6410180384182,10.9188993752781,602.459479191453,6.40102040864911,9,26.4,29.9,34.7,52.5,75,317.15,63.5,51.0424526629766,46.4897932312741
"38",1075,"Lamar County","AL",0,0,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,13972,9.54481060592672,2.7,44265,80.0829754542762,10.6979495760451,552.739202669528,6.31488628570602,17.5,41.7,30.8,10,52.5,74.6,347.01,63.4,10.224153705398,88.4949679780421
"39",1077,"Lauderdale County","AL",0.01,3,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,93564,11.4464009730976,2.6,52222,84.6767642537515,10.8632591410218,616.72172360656,6.42441790694305,11.3,35.1,28.1,25.5,50.1,72.6,327.4,61.1,21.1029411764706,76.9852941176471
"40",1079,"Lawrence County","AL",0,0,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,33073,10.406472518523,2.4,55555,81.1556047915656,10.9251288000181,684.54914657692,6.52876044138688,16.8,41.3,26.6,15.3,50.4,72.3,335.67,61.1,17.8831435504947,80.016800448012
"41",1081,"Lee County","AL",0.03,21,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,174241,12.0681946773606,2.4,54188,89.589,10.9002147607006,604.8510419806,6.40498221611348,8.6,22.1,30.7,38.6,53,75.5,300.43,64.2,30.736966766179,66.53179048136
"42",1083,"Limestone County","AL",0.02,7,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,103570,11.5480029915829,2.1,69207,90.757069771675,11.1448572925592,762.552164521284,6.63667091862847,13.5,27.3,30.8,28.4,50.8,71.9,326.04,61.2,22.5234452517364,74.9671926511539
"43",1085,"Lowndes County","AL",0,0,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,10311,9.24096656551794,5.2,36993,85.7273600134479,10.5184839845386,431.519178873547,6.06731195651963,15.3,43.1,26.5,15.1,55.3,78.1,290.47,66.5,67.1909560088474,31.3836323420988
"44",1087,"Macon County","AL",0.01,0,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,19532,9.87980942518155,3.8,35354,89.0397045752735,10.4731668190958,397.058819642781,5.98408443002181,16.5,30,32.3,21.2,54.3,76.5,289.06,65.4,76.9417023654312,21.4751350344571
"45",1089,"Madison County","AL",0.04,37,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,388153,12.8691548707747,2.1,78386,91.6070228176714,11.2694006189642,855.676754783466,6.75189268190774,8,19.2,28.5,44.3,51,71.9,336.01,61.3,38.26390911739,58.7382963671924
"46",1091,"Marengo County","AL",0,0,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,19323,9.869051375215,3.4,42048,83.4603335525301,10.6465671018443,503.808194985644,6.22219563013327,13.4,35.7,31.2,19.7,54.2,77,278.04,65.4,46.4684014869888,52.4163568773234
"47",1093,"Marion County","AL",0,2,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,29341,10.2867411342791,2.5,44636,80.5457132488303,10.7062959873056,554.169777628088,6.31747109761111,18.7,35.6,33.1,12.6,51.1,73.3,359.04,62,7.05334765485141,91.1325933882325
"48",1095,"Marshall County","AL",0.01,7,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,97612,11.488755715663,2.1,50858,83.1385992715367,10.8367927145694,611.725485461862,6.41628362871537,16.5,31.2,31,21.4,52.1,72.1,332.37,61.9,10.176570317992,87.7103750568581
"49",1097,"Mobile County","AL",0.02,26,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,414809,12.9355734523056,3.2,49848,87.9169086368989,10.8167336542241,566.989908686106,6.34034150583763,12.1,34.2,29.7,23.9,57.9,78.8,329.47,68.1,37.6381073451609,60.1764782860668
"50",1099,"Monroe County","AL",0.01,0,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,19772,9.89202207442685,4.1,40997,81.5820530607275,10.6212541722776,502.524739963126,6.21964487247875,17.6,44.7,24.8,12.9,56.4,78.3,298.32,67.2,38.1372828254059,60.8088863571632
"51",1101,"Montgomery County","AL",0.02,19,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,228954,12.3412763889962,3.1,50645,88.9536907709703,10.8325957881209,569.341188218891,6.34447988222263,12.3,25.8,28.5,33.4,55.3,77.9,295.51,66.5,58.4666921234422,39.4713090568265
"52",1103,"Morgan County","AL",0.01,8,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,123421,11.7233565542568,2.1,56340,87.4350883134033,10.9391600414304,644.363734134451,6.46826337121889,15.3,31.2,30.8,22.8,51.8,72,325.26,61.7,18.3707268295732,79.0888069495657
"53",1105,"Perry County","AL",0,0,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,8511,9.04911472347696,5.3,31522,82.7515464276258,10.3584409937355,380.923394918898,5.94259829170579,21.4,40.1,19.6,18.9,53.7,76.3,287.18,64.8,70.0693131695022,28.2923755513548
"54",1107,"Pickens County","AL",0.01,0,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,19123,9.85864707806297,3.3,43926,81.1542685378887,10.6902616788747,541.265429303847,6.29390978570733,16.7,42.3,27.6,13.3,53.5,75.4,342.26,64.3,34.2682926829268,64.405487804878
"55",1109,"Pike County","AL",0.01,1,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,33009,10.404535530538,2.7,38945,87.9382423648622,10.569905673354,442.867618827476,6.09327089655502,12.7,36.3,23.3,27.8,54.8,77.4,284.62,65.9,32.7427094868955,65.9406915220869
"56",1111,"Randolph County","AL",0.01,0,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,21967,9.99729660621419,2.5,45889,80.5849363843303,10.7339807159115,569.448858048898,6.34466897736037,19.7,34.4,29.6,16.2,50.8,74.2,306.5,62.3,15.0768294538263,83.2344439373193
"57",1113,"Russell County","AL",0.01,3,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,59183,10.988389617471,2.6,44849,86.2278905380351,10.7110565706943,520.121734628509,6.25406288923199,14.7,29.5,38.5,17.3,53.9,76.9,282.08,65.3,46.780483577433,51.7115867926164
"58",1115,"St. Clair County","AL",0.02,3,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,91103,11.4197460135511,2.2,63015,88.0874817441735,11.0511280722716,715.368390062622,6.57279764086498,14,35.2,32.4,18.5,52.1,74.3,324.76,63,14.1134675422543,82.7107331252019
"59",1117,"Shelby County","AL",0.03,9,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,223024,12.3150346679697,1.8,85457,93.9104578239507,11.3557686044396,909.983850363098,6.81342685249968,6.4,19.8,29,44.8,52,75.5,325.38,63.5,23.3763249360871,72.9066727946457
"60",1119,"Sumter County","AL",0,0,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,12345,9.42100640177928,3.5,29490,84.4080383573689,10.2918065018093,349.374308109667,5.85614386354151,12.7,33.5,34.3,19.5,53.9,76.5,299.8,65.1,69.2645161290323,30.0129032258065
"61",1121,"Talladega County","AL",0.01,3,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,82149,11.3162899505368,3.1,47331,82.7394148189838,10.7649207509256,572.04900594898,6.34922466244591,17.1,34.6,32.4,15.9,51.7,75.3,321.35,63.3,31.9042548266123,66.0632436686884
"62",1123,"Tallapoosa County","AL",0.01,3,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,41311,10.6288840873116,2.9,47444,84.184254223164,10.7673053471492,563.573324225582,6.33429744786389,18.4,31.6,31.9,18.1,51.8,75.4,305,63.4,21.5071222968485,76.9134253450439
"63",1125,"Tuscaloosa County","AL",0.01,22,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,227036,12.3328638741978,2.5,56274,88.7578671181622,10.937987895737,634.017037893477,6.45207582772515,10.4,29.8,29.2,30.6,53.3,75.2,319.95,64.1,36.0745124672553,61.858930823712
"64",1127,"Walker County","AL",0.01,1,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,65342,11.0873902938081,2.8,46343,82.7597132757945,10.7438255347774,559.970523889603,6.32788414643245,17.7,34.6,33.6,14.1,52,74.3,332.36,62.9,11.7101416685406,85.4845963570947
"65",1129,"Washington County","AL",0,0,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,15388,9.64134326387219,3.6,49795,81.4614756457372,10.8156698563657,611.270537456876,6.4155396393361,13.8,42.5,30.1,13.6,55.9,78.1,337.8,66.7,21.554950663491,77.52636951344
"66",1131,"Wilcox County","AL",0,0,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,10600,9.26860928010016,7.8,30071,83.4893152795721,10.3113165311662,360.177825142107,5.88659786822078,20.8,39.2,29,11,55.4,77.8,277.41,66.4,64.21632974534,34.8910475190339
"67",1133,"Winston County","AL",0.02,0,3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,0.312,23540,10.0664563808143,2.4,47176,79.6874235212738,10.7616405676803,592.013117194153,6.38352879206109,20.7,38.7,27.1,13.5,50.6,72.4,357.43,61.2,5.85075493612079,91.5940766550523
"68",2013,"Aleutians East Borough","AK",0,0,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,0.0895,3420,8.13739583005665,2,71492,100.408230784543,11.1773408343103,712.013342346488,6.56809665048708,15.3,41.6,27.2,15.9,34.8,45,249.82,39.9,NA,NA
"69",2016,"Aleutians West Census Area","AK",0.06,0,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,0.0895,5232,8.56254889313703,3.1,86050,105.53883629705,11.3626838016397,815.339670392076,6.70360479990213,9,43.4,30.9,16.8,36.4,44.3,277.24,40.3,NA,NA
"70",2020,"Anchorage Municipality","AK",0.04,14,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,0.0895,291247,12.5819269833798,3.3,86152,107.239328968148,11.3638684570087,803.361983229014,6.68880540095121,5.8,23.7,33.7,36.8,26.7,40.3,341.37,33.5,NA,NA
"71",2050,"Bethel Census Area","AK",0.01,0,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,0.0895,18666,9.83445896612569,8.8,54849,104.935593726861,10.9123392339966,522.692044253045,6.2589924651191,18,46.6,22.6,12.7,25.8,40.2,129.8,33,NA,NA
"72",2060,"Bristol Bay Borough","AK",0,0,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,0.0895,844,6.73815249459596,4.3,88516,100.698797145426,11.3909386056158,879.017451143612,6.7788047508938,5.3,30.2,42.5,22.1,29.6,45.5,131.45,37.5,NA,NA
"73",2068,"Denali Borough","AK",0.03,4,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,0.0895,1619,7.38956395367764,6.3,85251,98.1179258453455,11.3533551252822,868.862639171292,6.76718504507436,1.6,30.4,28.5,39.4,26.8,40.5,755.17,33.6,NA,NA
"74",2070,"Dillingham Census Area","AK",0,0,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,0.0895,4857,8.48817624234574,5.6,58389,101.291098761374,10.9748827949107,576.447493550794,6.35688425759213,13.5,39.9,27.1,19.6,17.5,34.8,256.8,26.2,NA,NA
"75",2090,"Fairbanks North Star Borough","AK",0.02,1,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,0.0895,95655,11.4685032474175,3.7,76754,104.461,11.2483607813552,734.762255770096,6.59954698535059,5.5,25.6,36.3,32.6,19.4,36.5,134.16,27.9,NA,NA
"76",2100,"Haines Borough","AK",0,0,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,0.0895,2080,7.64012317269536,6.6,63155,99.5099366733439,11.0533473012081,634.660237070752,6.45308979596605,2.3,39.4,32.6,25.6,28.2,43.1,208.91,35.7,NA,NA
"77",2105,"Hoonah-Angoon Census Area","AK",0,0,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,0.0895,2365,7.76853330092603,NA,NA,98.8826983102934,NA,NA,NA,6.3,36.5,34.9,22.3,19.5,37.6,96.86,28.5,NA,NA
"78",2110,"Juneau City and Borough","AK",0.08,16,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,0.0895,32255,10.3814283489663,2.8,89922,103.66196091289,11.4066979068731,867.454167450719,6.76556267751547,4.6,21,34.4,40.1,28.3,40.4,464.17,34.3,NA,NA
"79",2122,"Kenai Peninsula Borough","AK",0.02,12,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,0.0895,58799,10.9818801269394,4.5,71111,101.787841298403,11.1719973154984,698.619786930443,6.54910665566249,6,30.9,35.7,27.4,32.2,43,716.18,37.6,NA,NA
"80",2130,"Ketchikan Gateway Borough","AK",0.03,0,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,0.0895,13948,9.54309140779554,3.8,73260,102.222879743955,11.2017700363328,716.669303227414,6.57461451136881,6,28.9,38.7,26.4,29,40,890.5,34.5,NA,NA
"81",2150,"Kodiak Island Borough","AK",0.02,0,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,0.0895,13101,9.48044384215367,4.3,80863,105.12862291081,11.300511643669,769.181577395942,6.64532706308452,9.5,28.2,33.2,29.2,28,41.9,300.48,35,NA,NA
"82",2158,"Kusilvak Census Area","AK",0,0,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,0.0895,8368,9.0321701863047,12.9,38203,96.2652437379162,10.5506693255424,396.851433774046,5.98356198841695,20.4,55.6,21,2.9,35.1,46.1,802.73,40.6,NA,NA
"83",2164,"Lake and Peninsula Borough","AK",0,0,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,0.0895,1476,7.29709100516042,5.8,51205,97.1268911656877,10.8435924625095,527.196941912307,6.2675741825499,10.7,40.7,26.3,22.2,33.2,46.4,322.55,39.8,NA,NA
"84",2170,"Matanuska-Susitna Borough","AK",0.03,8,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,0.0895,107081,11.5813408364028,4.6,80164,104.902023365619,11.2918298152733,764.179731029604,6.63880301153832,6.3,33,37,23.7,25.4,38.1,121.63,31.7,NA,NA
"85",2180,"Nome Census Area","AK",0.02,1,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,0.0895,10046,9.21492982430999,6.9,65578,102.328097727283,11.0909955528308,640.860149426147,6.46281125749467,12.4,43.6,25.7,18.4,29.4,44.6,206.63,37,NA,NA
"86",2185,"North Slope Borough","AK",0,0,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,0.0895,11031,9.30846476996938,5,95041,98.4504528570342,11.4620636564266,965.368845362395,6.87251025148378,12.3,41.4,30.6,15.6,22.9,37.8,192.4,30.3,NA,NA
"87",2188,"Northwest Arctic Borough","AK",0,0,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,0.0895,7793,8.96098117384356,9,67586,100.638474056367,11.1211561399911,671.572185823739,6.50962150955086,15.7,47.1,22.8,14.4,21.4,33.4,91.2,27.3,NA,NA
"88",2195,"Petersburg Borough","AK",0.02,0,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,0.0895,3398,8.13094230223188,NA,NA,98.8865416732603,NA,NA,NA,8.5,31,32,28.4,10.5,23.8,65.93,17.2,NA,NA
"89",2198,"Prince of Wales-Hyder Census Area","AK",0,0,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,0.0895,5753,8.65747673686329,NA,NA,94.8304437680161,NA,NA,NA,7.6,38.1,35.1,19.2,17.3,31.5,83.32,24.4,NA,NA
"90",2220,"Sitka City and Borough","AK",0.05,0,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,0.0895,8458,9.04286801803243,2.8,78248,104.016721337966,11.2676385489703,752.263664855965,6.62308688065719,5.2,25.4,36.2,33.2,31.5,42,876.28,36.8,NA,NA
